Tên,Cấp,Quận Huyện,Tỉnh / Thành Phố
Phường Tam Thanh,Phường,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
Phường Vĩnh Trại,Phường,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
Phường Đông Kinh,Phường,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
Phường Chi Lăng,Phường,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
Xã Hoàng Đồng,Xã,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
Xã Quảng Lạc,Xã,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
Xã Mai Pha,Xã,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
Thị trấn Thất Khê,Thị trấn,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Khánh Long,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Đoàn Kết,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Quốc Khánh,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Vĩnh Tiến,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Cao Minh,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Chí Minh,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Tri Phương,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Tân Tiến,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Tân Yên,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Đội Cấn,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Tân Minh,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Kim Đồng,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Chi Lăng,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Trung Thành,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Đại Đồng,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Đào Viên,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Đề Thám,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Kháng Chiến,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Hùng Sơn,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Quốc Việt,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Hùng Việt,Xã,Huyện Tràng Định,Tỉnh Lạng Sơn
Xã Hưng Đạo,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Vĩnh Yên,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Hoa Thám,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Quý Hòa,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Hồng Phong,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Yên Lỗ,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Thiện Hòa,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Quang Trung,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Thiện Thuật,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Minh Khai,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Thiện Long,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Hoàng Văn Thụ,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Hòa Bình,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Mông Ân,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Tân Hòa,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Thị trấn Bình Gia,Thị trấn,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Hồng Thái,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Bình La,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Xã Tân Văn,Xã,Huyện Bình Gia,Tỉnh Lạng Sơn
Thị trấn Na Sầm,Thị trấn,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Trùng Khánh,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Bắc La,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Thụy Hùng,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Bắc Hùng,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Tân Tác,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Thanh Long,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Hội Hoan,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Bắc Việt,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Hoàng Việt,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Gia Miễn,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Thành Hòa,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Tân Thanh,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Tân Mỹ,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Hồng Thái,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã  Hoàng Văn Thụ,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Xã Nhạc Kỳ,Xã,Huyện Văn Lãng,Tỉnh Lạng Sơn
Thị trấn Đồng Đăng,Thị trấn,Huyện Cao Lộc,Tỉnh Lạng Sơn
Thị trấn Cao Lộc,Thị trấn,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Bảo Lâm,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Thanh Lòa,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Cao Lâu,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Thạch Đạn,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Xuất Lễ,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Hồng Phong,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Thụy Hùng,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Lộc Yên,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Phú Xá,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Bình Trung,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Hải Yến,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Hòa Cư,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Hợp Thành,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Công Sơn,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Gia Cát,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Mẫu Sơn,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Xuân Long,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Tân Liên,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Yên Trạch,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Xã Tân Thành,Xã,Huyện Cao Lộc,Tỉnh Lạng Sơn
Thị trấn Văn Quan,Thị trấn,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Trấn Ninh,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Liên Hội,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Hòa Bình,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Tú Xuyên,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Điềm He,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã An Sơn,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Khánh Khê,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Lương Năng,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Đồng Giáp,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Bình Phúc,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Tràng Các,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Tân Đoàn,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Tri Lễ,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Tràng Phái,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Yên Phúc,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Xã Hữu Lễ,Xã,Huyện Văn Quan,Tỉnh Lạng Sơn
Thị trấn Bắc Sơn,Thị trấn,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Long Đống,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Vạn Thủy,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Đồng ý,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Tân Tri,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Bắc Quỳnh,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Hưng Vũ,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Tân Lập,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Vũ Sơn,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Chiêu Vũ,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Tân Hương,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Chiến Thắng,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Vũ Lăng,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Trấn Yên,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Vũ Lễ,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Nhất Hòa,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Tân Thành,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Xã Nhất Tiến,Xã,Huyện Bắc Sơn,Tỉnh Lạng Sơn
Thị trấn Hữu Lũng,Thị trấn,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Hữu Liên,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Yên Bình,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Quyết Thắng,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Hòa Bình,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Yên Thịnh,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Yên Sơn,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Thiện Tân,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Yên Vượng,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Minh Tiến,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Nhật Tiến,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Thanh Sơn,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Đồng Tân,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Cai Kinh,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Hòa Lạc,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Vân Nham,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Đồng Tiến,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Tân Thành,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Hòa Sơn,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Minh Sơn,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Hồ Sơn,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Sơn Hà,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Minh Hòa,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Xã Hòa Thắng,Xã,Huyện Hữu Lũng,Tỉnh Lạng Sơn
Thị trấn Đồng Mỏ,Thị trấn,Huyện Chi Lăng,Tỉnh Lạng Sơn
Thị trấn Chi Lăng,Thị trấn,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Vân An,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Vân Thủy,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Gia Lộc,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Bắc Thủy,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Chiến Thắng,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Mai Sao,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Bằng Hữu,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Thượng Cường,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Bằng Mạc,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Nhân Lý,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Lâm Sơn,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Liên Sơn,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Vạn Linh,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Hòa Bình,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Hữu Kiên,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Quan Sơn,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Y Tịch,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Xã Chi Lăng,Xã,Huyện Chi Lăng,Tỉnh Lạng Sơn
Thị trấn Na Dương,Thị trấn,Huyện Lộc Bình,Tỉnh Lạng Sơn
Thị trấn Lộc Bình,Thị trấn,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Mẫu Sơn,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Yên Khoái,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Khánh Xuân,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Tú Mịch,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Hữu Khánh,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Đồng Bục,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Tam Gia,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Tú Đoạn,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Khuất Xá,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Tĩnh Bắc,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Thống Nhất,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Sàn Viên,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Đông Quan,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Minh Hiệp,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Hữu Lân,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Lợi Bác,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Nam Quan,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Xuân Dương,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Xã Ái Quốc,Xã,Huyện Lộc Bình,Tỉnh Lạng Sơn
Thị trấn Đình Lập,Thị trấn,Huyện Đình Lập,Tỉnh Lạng Sơn
Thị trấn NT Thái Bình,Thị trấn,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Bắc Xa,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Bính Xá,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Kiên Mộc,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Đình Lập,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Thái Bình,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Cường Lợi,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Châu Sơn,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Lâm Ca,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Đồng Thắng,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Xã Bắc Lãng,Xã,Huyện Đình Lập,Tỉnh Lạng Sơn
Phường Hà Khánh,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hà Phong,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hà Khẩu,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Cao Xanh,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Giếng Đáy,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hà Tu,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hà Trung,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hà Lầm,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Bãi Cháy,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Cao Thắng,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hùng Thắng,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Yết Kiêu,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Trần Hưng Đạo,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hồng Hải,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hồng Gai,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Bạch Đằng,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hồng Hà,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Tuần Châu,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Việt Hưng,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Đại Yên,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Hoành Bồ,Phường,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Kỳ Thượng,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Đồng Sơn,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Tân Dân,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Đồng Lâm,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Hòa Bình,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Vũ Oai,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Dân Chủ,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Quảng La,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Bằng Cả,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Thống Nhất,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Sơn Dương,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Xã Lê Lợi,Xã,Thành phố Hạ Long,Tỉnh Quảng Ninh
Phường Ka Long,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Trần Phú,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Ninh Dương,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Hoà Lạc,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Trà Cổ,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Hải Sơn,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Bắc Sơn,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Hải Đông,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Hải Tiến,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Hải Yên,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Quảng Nghĩa,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Hải Hoà,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Hải Xuân,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Vạn Ninh,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Bình Ngọc,Phường,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Vĩnh Trung,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Xã Vĩnh Thực,Xã,Thành phố Móng Cái,Tỉnh Quảng Ninh
Phường Mông Dương,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cửa Ông,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Sơn,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Đông,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Phú,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Tây,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Quang Hanh,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Thịnh,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Thủy,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Thạch,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Thành,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Trung,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Cẩm Bình,Phường,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Xã Cộng Hòa,Xã,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Xã Cẩm Hải,Xã,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Xã Dương Huy,Xã,Thành phố Cẩm Phả,Tỉnh Quảng Ninh
Phường Vàng Danh,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Thanh Sơn,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Bắc Sơn,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Quang Trung,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Trưng Vương,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Nam Khê,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Yên Thanh,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Xã Thượng Yên Công,Xã,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Phương Đông,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Phường Phương Nam,Phường,Thành phố Uông Bí,Tỉnh Quảng Ninh
Thị trấn Bình Liêu,Thị trấn,Huyện Bình Liêu,Tỉnh Quảng Ninh
Xã Hoành Mô,Xã,Huyện Bình Liêu,Tỉnh Quảng Ninh
Xã Đồng Tâm,Xã,Huyện Bình Liêu,Tỉnh Quảng Ninh
Xã Đồng Văn,Xã,Huyện Bình Liêu,Tỉnh Quảng Ninh
Xã Vô Ngại,Xã,Huyện Bình Liêu,Tỉnh Quảng Ninh
Xã Lục Hồn,Xã,Huyện Bình Liêu,Tỉnh Quảng Ninh
Xã Húc Động,Xã,Huyện Bình Liêu,Tỉnh Quảng Ninh
Thị trấn Tiên Yên,Thị trấn,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Hà Lâu,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Đại Dực,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Phong Dụ,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Điền Xá,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Đông Ngũ,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Yên Than,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Đông Hải,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Hải Lạng,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Tiên Lãng,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Xã Đồng Rui,Xã,Huyện Tiên Yên,Tỉnh Quảng Ninh
Thị trấn Đầm Hà,Thị trấn,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Quảng Lâm,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Quảng An,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Tân Bình,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Dực Yên,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Quảng Tân,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Đầm Hà,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Tân Lập,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Xã Đại Bình,Xã,Huyện Đầm Hà,Tỉnh Quảng Ninh
Thị trấn Quảng Hà,Thị trấn,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Đức,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Sơn,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Thành,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Thịnh,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Minh,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Chính,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Long,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Đường Hoa,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Quảng Phong,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Xã Cái Chiên,Xã,Huyện Hải Hà,Tỉnh Quảng Ninh
Thị trấn Ba Chẽ,Thị trấn,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Xã Thanh Sơn,Xã,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Xã Thanh Lâm,Xã,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Xã Đạp Thanh,Xã,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Xã Nam Sơn,Xã,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Xã Lương Mông,Xã,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Xã Đồn Đạc,Xã,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Xã Minh Cầm,Xã,Huyện Ba Chẽ,Tỉnh Quảng Ninh
Thị trấn Cái Rồng,Thị trấn,Huyện Vân Đồn,Tỉnh Quảng Ninh
Xã Đài Xuyên,Xã,Huyện Vân Đồn,Tỉnh Quảng Ninh
Xã Bình Dân,Xã,Huyện Vân Đồn,Tỉnh Quảng Ninh
Xã Vạn Yên,Xã,Huyện Vân Đồn,Tỉnh Quảng Ninh
Xã Minh Châu,Xã,Huyện Vân Đồn,Tỉnh Quảng Ninh
Xã Đoàn Kết,Xã,Huyện Vân Đồn,Tỉnh Quảng Ninh
Xã Hạ Long,Xã,Huyện Vân Đồn,Tỉnh Quảng Ninh
